Nasdaq-composite 3x, 1971-2025
Date, Close-price
1973-08-15,102.358708
1973-08-16,102.239859
1973-08-17,103.427429
1973-08-20,100.315930
1973-08-21,98.703762
1973-08-22,96.442042
1973-08-23,99.839497
1973-08-24,99.459731
1973-08-27,100.945800
1973-08-28,101.181219
1973-08-29,103.539068
1973-08-30,104.137618
1973-08-31,106.781365
1973-09-04,108.705813
1973-09-05,110.344128
1973-09-06,111.374409
1973-09-07,113.447757
1973-09-10,110.999015
1973-09-11,109.494652
1973-09-12,108.128169
1973-09-13,108.959687
1973-09-14,110.414547
1973-09-17,111.039122
1973-09-18,111.133161
1973-09-19,116.182768
1973-09-20,118.928260
1973-09-21,121.224594
1973-09-24,121.988755
1973-09-25,122.355755
1973-09-26,125.097059
1973-09-27,127.302259
1973-09-28,127.062002
1973-10-01,126.273577
1973-10-02,128.970418
1973-10-03,130.251351
1973-10-04,128.090756
1973-10-05,131.709139
1973-10-08,133.850466
1973-10-09,133.495645
1973-10-10,130.307900
1973-10-11,135.152190
1973-10-12,137.080215
1973-10-15,133.584129
1973-10-16,133.619553
1973-10-17,131.918898
1973-10-18,132.480952
1973-10-19,133.995758
1973-10-22,130.588184
1973-10-23,128.913529
1973-10-24,130.020380
1973-10-25,130.646537
1973-10-26,132.321642
1973-10-29,129.857989
1973-10-30,124.783691
1973-10-31,123.227138
1973-11-01,121.381583
1973-11-02,119.089484
1973-11-05,113.448231
1973-11-06,110.527635
1973-11-07,111.869065
1973-11-08,113.724465
1973-11-09,108.828304
1973-11-12,106.698451
1973-11-13,105.662740
1973-11-14,97.309795
1973-11-15,96.307880
1973-11-16,95.597156
1973-11-19,88.864431
1973-11-20,82.347706
1973-11-21,84.240560
1973-11-23,84.188624
1973-11-26,75.960116
1973-11-27,73.393951
1973-11-28,77.817933
1973-11-29,77.031066
1973-11-30,74.320080
1973-12-03,70.648187
1973-12-04,69.703343
1973-12-05,65.523883
1973-12-06,68.897563
1973-12-07,71.275424
1973-12-10,74.101118
1973-12-11,70.916528
1973-12-12,67.709132
1973-12-13,63.928873
1973-12-14,65.026395
1973-12-17,63.938148
1973-12-18,67.015616
1973-12-19,66.305203
1973-12-20,66.371332
1973-12-21,64.717011
1973-12-24,62.873531
1973-12-26,66.106905
1973-12-27,68.437762
1973-12-28,69.405265
1973-12-31,70.563534
1974-01-02,71.344256
1974-01-03,75.160900
1974-01-04,74.969367
1974-01-07,75.853703
1974-01-08,74.769734
1974-01-09,70.427650
1974-01-10,68.640224
1974-01-11,70.464723
1974-01-14,70.854369
1974-01-15,72.395681
1974-01-16,75.709376
1974-01-17,79.218817
1974-01-18,77.658384
1974-01-21,75.605309
1974-01-22,77.549857
1974-01-23,78.697357
1974-01-24,78.327539
1974-01-25,77.811418
1974-01-28,76.881596
1974-01-29,75.765024
1974-01-30,77.231289
1974-01-31,76.647003
1974-02-01,74.757674
1974-02-04,71.756251
1974-02-05,70.759743
1974-02-06,71.402596
1974-02-07,71.564280
1974-02-08,70.153197
1974-02-11,67.710770
1974-02-12,66.306475
1974-02-13,65.383313
1974-02-14,65.666390
1974-02-15,67.347903
1974-02-19,66.992584
1974-02-20,68.630147
1974-02-21,70.001851
1974-02-22,71.733479
1974-02-25,71.247177
1974-02-26,72.146219
1974-02-27,74.354540
1974-02-28,75.042276
1974-03-01,74.326451
1974-03-04,73.733736
1974-03-05,75.879718
1974-03-06,76.865169
1974-03-07,75.434856
1974-03-08,76.967015
1974-03-11,78.665351
1974-03-12,78.493038
1974-03-13,79.795793
1974-03-14,80.243106
1974-03-15,80.292993
1974-03-18,77.398353
1974-03-19,75.888854
1974-03-20,76.369417
1974-03-21,77.358720
1974-03-22,77.577752
1974-03-25,77.333924
1974-03-26,77.139272
1974-03-27,74.564454
1974-03-28,71.382742
1974-03-29,69.999206
1974-04-01,69.157122
1974-04-02,69.450607
1974-04-03,69.677003
1974-04-04,69.109785
1974-04-05,66.447088
1974-04-08,64.732797
1974-04-09,65.294314
1974-04-10,64.620952
1974-04-11,64.448381
1974-04-15,63.651658
1974-04-16,65.594949
1974-04-17,66.444568
1974-04-18,66.840071
1974-04-19,65.538565
1974-04-22,65.451480
1974-04-23,61.536137
1974-04-24,58.364386
1974-04-25,56.531899
1974-04-26,56.926124
1974-04-29,57.361783
1974-04-30,58.157922
1974-05-01,59.704604
1974-05-02,60.399557
1974-05-03,59.369668
1974-05-06,59.043871
1974-05-07,57.725173
1974-05-08,55.886706
1974-05-09,56.023588
1974-05-10,53.066044
1974-05-13,50.950956
1974-05-14,50.914204
1974-05-15,51.557060
1974-05-16,51.538538
1974-05-17,48.631394
1974-05-20,47.741036
1974-05-21,47.494797
1974-05-22,46.495706
1974-05-23,46.201940
1974-05-24,47.750608
1974-05-28,47.064688
1974-05-29,44.835124
1974-05-30,45.357770
1974-05-31,45.544661
1974-06-03,47.043886
1974-06-04,48.244933
1974-06-05,49.023743
1974-06-06,50.794823
1974-06-07,51.728911
1974-06-10,52.118222
1974-06-11,51.037601
1974-06-12,50.596671
1974-06-13,50.852394
1974-06-14,49.972680
1974-06-17,47.762675
1974-06-18,47.253066
1974-06-19,46.223676
1974-06-20,44.831120
1974-06-21,43.584720
1974-06-24,43.204572
1974-06-25,43.976865
1974-06-26,42.181212
1974-06-27,39.853081
1974-06-28,38.499228
1974-07-01,37.632539
1974-07-02,35.266466
1974-07-03,35.051456
1974-07-05,34.922975
1974-07-08,31.206149
1974-07-09,30.718003
1974-07-10,29.712782
1974-07-11,29.878751
1974-07-12,32.095631
1974-07-15,32.498617
1974-07-16,32.024547
1974-07-17,33.473096
1974-07-18,33.611205
1974-07-19,34.428288
1974-07-22,34.456431
1974-07-23,35.892507
1974-07-24,36.167342
1974-07-25,34.539012
1974-07-26,33.580509
1974-07-29,31.726964
1974-07-30,31.474001
1974-07-31,29.739178
1974-08-01,29.280280
1974-08-02,28.990126
1974-08-05,29.328484
1974-08-06,30.414568
1974-08-07,31.902307
1974-08-08,30.540406
1974-08-09,30.579306
1974-08-12,30.151048
1974-08-13,28.171261
1974-08-14,26.243237
1974-08-15,25.810077
1974-08-16,24.629173
1974-08-19,23.810195
1974-08-20,24.457271
1974-08-21,23.564127
1974-08-22,22.115869
1974-08-23,21.051637
1974-08-26,21.425095
1974-08-27,20.812366
1974-08-28,20.902506
1974-08-29,19.837794
1974-08-30,20.807542
