SP-500 2x, 1927-2025
Date,Close
1930-12-22,9.812854
1930-12-23,9.918369
1930-12-24,10.183566
1930-12-26,9.767088
1930-12-29,9.596082
1930-12-30,10.039379
1930-12-31,10.412689
1931-01-02,11.105058
1931-01-05,11.217160
1931-01-06,11.498820
1931-01-07,10.016022
1931-01-08,11.529376
1931-01-09,11.302057
1931-01-12,10.978539
1931-01-13,10.715164
1931-01-14,10.961647
1931-01-15,10.449227
1931-01-16,10.706064
1931-01-19,10.446109
1931-01-20,10.878548
1931-01-21,10.878548
1931-01-22,11.278393
1931-01-23,11.769674
1931-01-26,11.741001
1931-01-27,11.626455
1931-01-28,11.199013
1931-01-29,11.408732
1931-01-30,11.436954
1931-02-02,11.394568
1931-02-03,11.507386
1931-02-04,11.634931
1931-02-05,11.478182
1931-02-06,11.548950
1931-02-09,12.528514
1931-02-10,12.927418
1931-02-11,13.002449
1931-02-13,12.851957
1931-02-16,13.091341
1931-02-17,12.653452
1931-02-18,12.876095
1931-02-19,13.220455
1931-02-20,13.645207
1931-02-24,14.354050
1931-02-25,14.038055
1931-02-26,14.350534
1931-02-27,14.129393
1931-03-02,13.330059
1931-03-03,13.299624
1931-03-04,13.056431
1931-03-05,13.583508
1931-03-06,13.015288
1931-03-09,13.676573
1931-03-10,13.614966
1931-03-11,13.307632
1931-03-12,13.125334
1931-03-13,13.004642
1931-03-16,13.680404
1931-03-17,13.387856
1931-03-18,13.738164
1931-03-19,14.046714
1931-03-20,14.124707
1931-03-23,13.655449
1931-03-24,13.839980
1931-03-25,13.685173
1931-03-26,13.315720
1931-03-27,12.814670
1931-03-30,11.995604
1931-03-31,12.038806
1931-04-01,11.793558
1931-04-02,11.693613
1931-04-06,11.764698
1931-04-07,11.450973
1931-04-08,11.760458
1931-04-09,11.632162
1931-04-10,11.703046
1931-04-13,12.072766
1931-04-14,11.769504
1931-04-15,11.299009
1931-04-16,11.019675
1931-04-17,10.674879
1931-04-20,10.987050
1931-04-21,10.408785
1931-04-22,9.980109
1931-04-23,10.071910
1931-04-24,10.071910
1931-04-27,9.373661
1931-04-28,9.259348
1931-04-29,8.880643
1931-04-30,9.770561
1931-05-01,9.200773
1931-05-04,9.715766
1931-05-05,9.560932
1931-05-06,9.650527
1931-05-07,9.573373
1931-05-08,10.200925
1931-05-11,9.870584
1931-05-12,9.675643
1931-05-13,9.611310
