SP500 1927-DANES,LEVERAGE 3.0x
Date,Close,Change (%)
1930-06-30,14.759642531661024,9.84%
1930-07-01,14.281430113635206,-3.24%
1930-07-02,14.748432878351077,3.27%
1930-07-03,14.292706302410028,-3.09%
1930-07-07,13.405129241030366,-6.21%
1930-07-08,13.690658493864314,2.13%
1930-07-09,14.286202138347413,4.35%
1930-07-10,15.366239020006478,7.56%
1930-07-11,14.877592619170272,-3.18%
1930-07-14,16.6361240667562,11.82%
1930-07-15,16.54129815957569,-0.57%
1930-07-16,16.91347736816614,2.25%
1930-07-17,17.151957399057284,1.41%
1930-07-18,17.604769074392397,2.64%
1930-07-21,15.592543969189345,-11.43%
1930-07-22,16.439219106716326,5.43%
1930-07-23,17.223369858106697,4.77%
1930-07-24,16.55682544459797,-3.87%
1930-07-25,16.834980112067214,1.68%
1930-07-28,17.58750372307662,4.47%
1930-07-29,17.175956135956625,-2.34%
1930-07-30,15.820773196829647,-7.89%
1930-07-31,16.115039578290677,1.86%
1930-08-01,15.887817520236778,-1.41%
1930-08-04,16.812488499914558,5.82%
1930-08-05,16.812488499914558,0.00%
1930-08-06,16.015576545018607,-4.74%
1930-08-07,15.74171018609879,-1.71%
1930-08-08,13.970767790162675,-11.25%
1930-08-11,14.2390065317338,1.92%
1930-08-12,13.149722532056163,-7.65%
1930-08-13,13.686231211364055,4.08%
1930-08-14,13.7067605581811,0.15%
1930-08-15,14.80878410705886,8.04%
1930-08-18,14.4667011941858,-2.31%
1930-08-19,14.887682198936606,2.91%
1930-08-20,15.124396345899697,1.59%
1930-08-21,14.666127136618936,-3.03%
1930-08-22,14.987315320910891,2.19%
1930-08-25,14.749017007308408,-1.59%
1930-08-26,15.390599247126325,4.35%
1930-08-27,15.741504909960804,2.28%
1930-08-28,15.717892652595864,-0.15%
1930-08-29,16.25544458131464,3.42%
1930-09-02,16.279827748186616,0.15%
1930-09-03,15.80120081238993,-2.94%
1930-09-04,15.464635235086025,-2.13%
1930-09-05,16.169822601805947,4.56%
1930-09-08,16.829551363959627,4.08%
1930-09-09,17.1324832885109,1.80%
1930-09-10,17.368911557892353,1.38%
1930-09-11,17.03542845598082,-1.92%
1930-09-12,16.519254973764603,-3.03%
1930-09-15,15.805623158897973,-4.32%
