NASDAQ100,LEVERAGE 3.0x,1986-2025
Date,Close-Price,Change (%)
1987-06-15,352.21631974366886,-1.20%
1987-06-16,349.89169203336064,-0.66%
1987-06-17,360.0735402715314,2.91%
1987-06-18,367.63508461723353,2.10%
1987-06-19,365.76014568568564,-0.51%
1987-06-22,367.84497851609405,0.57%
1987-06-23,364.5343737094492,-0.90%
1987-06-24,364.97181495790056,0.12%
1987-06-25,361.68706862327946,-0.90%
1987-06-26,360.0594768144747,-0.45%
1987-06-29,358.00713779663215,-0.57%
1987-06-30,349.73717291352995,-2.31%
1987-07-01,350.9962267360187,0.36%
1987-07-02,356.05057240101735,1.44%
1987-07-06,348.4666952088757,-2.13%
1987-07-07,341.35797462661463,-2.04%
1987-07-08,339.3098267788549,-0.60%
1987-07-09,342.4654081678983,0.93%
1987-07-10,346.67773268836345,1.23%
1987-07-13,355.93402815114274,2.67%
1987-07-14,381.561278178025,7.20%
1987-07-15,380.87446787730454,-0.18%
1987-07-16,387.73020829909603,1.80%
1987-07-17,386.6833367366885,-0.27%
1987-07-20,374.7348216315248,-3.09%
1987-07-21,370.80010600439385,-1.05%
1987-07-22,373.35862673582415,0.69%
1987-07-23,361.0377920535419,-3.30%
1987-07-24,369.7026990628269,2.40%
1987-07-27,370.5899855405777,0.24%
1987-07-28,373.8141184147807,0.87%
1987-07-29,379.42133019100237,1.50%
1987-07-30,390.1210117023886,2.82%
1987-07-31,388.8336123637707,-0.33%
1987-08-03,382.18455759235025,-1.71%
1987-08-04,385.9681847125145,0.99%
1987-08-05,399.9788298175788,3.63%
1987-08-06,421.9376675745639,5.49%
1987-08-07,433.58314719962186,2.76%
1987-08-10,448.2816158896891,3.39%
1987-08-11,463.74733163788335,3.45%
1987-08-12,454.843382870436,-1.92%
1987-08-13,451.02269845432437,-0.84%
1987-08-14,451.02269845432437,0.00%
1987-08-17,453.32291421644146,0.51%
1987-08-18,434.0113580708211,-4.26%
1987-08-19,443.5162068125721,2.19%
1987-08-20,466.40164308410084,5.16%
1987-08-21,477.31544153226884,2.34%
1987-08-24,469.8693206443655,-1.56%
1987-08-25,478.18600761977075,1.77%
1987-08-26,481.1985794677753,0.63%
1987-08-27,477.589590121767,-0.75%
1987-08-28,465.41105557366194,-2.55%
1987-08-31,470.2978716571854,1.05%
1987-09-01,452.23843338554946,-3.84%
1987-09-02,444.64082770467223,-1.68%
1987-09-03,439.9720990137732,-1.05%
1987-09-04,433.9004840473831,-1.38%
1987-09-08,407.3457744236832,-6.12%
1987-09-09,417.73309167148716,2.55%
1987-09-10,439.9147188392431,5.31%
1987-09-11,447.70120936269774,1.77%
1987-09-14,439.77689795697796,-1.77%
1987-09-15,421.0424021040107,-4.26%
1987-09-16,415.10570423434416,-1.41%
1987-09-17,419.8379092626157,1.14%
1987-09-18,417.4448331798188,-0.57%
1987-09-21,390.0187076399047,-6.57%
1987-09-22,414.7068918335106,6.33%
1987-09-23,431.0048726825675,3.93%
1987-09-24,434.62531361310107,0.84%
1987-09-25,437.6242282770314,0.69%
1987-09-28,434.4733338334368,-0.72%
1987-09-29,431.4754678299861,-0.69%
1987-09-30,440.01868209301983,1.98%
1987-10-01,467.0798310417405,6.15%
1987-10-02,494.5441251069948,5.88%
1987-10-05,482.97179257949114,-2.34%
1987-10-06,455.15261732691243,-5.76%
1987-10-07,447.3695075706222,-1.71%
1987-10-08,426.1641929117747,-4.74%
1987-10-09,418.87678521298335,-1.71%
1987-10-12,401.28396023403803,-4.20%
1987-10-13,410.914775279655,2.40%
1987-10-14,388.10900525163413,-5.55%
1987-10-15,361.91164739714884,-6.75%
1987-10-16,306.8648858280425,-15.21%
1987-10-19,168.0392114794361,-45.24%
1987-10-20,130.17997713311914,-22.53%
1987-10-21,170.36653607411301,30.87%
1987-10-22,142.05161777859544,-16.62%
1987-10-23,129.05389475185396,-9.15%
1987-10-26,83.83341003080433,-35.04%
1987-10-27,86.65021260783936,3.36%
1987-10-28,89.3277041774216,3.09%
1987-10-29,115.45605764931742,29.25%
1987-10-30,130.072794547721,12.66%
1987-11-02,135.5748737570896,4.23%
1987-11-03,122.07161633088346,-9.96%
1987-11-04,124.08579800034303,1.65%
1987-11-05,136.89145235397842,10.32%
1987-11-06,130.56706725522463,-4.62%
1987-11-09,119.67777384613889,-8.34%
1987-11-10,112.20988075813982,-6.24%
1987-11-11,116.99002167843658,4.26%
1987-11-12,127.51912362949588,9.00%
1987-11-13,122.69890075630093,-3.78%
1987-11-16,121.48418163881355,-0.99%
1987-11-17,111.86263445301952,-7.92%
1987-11-18,114.81580800257923,2.64%
1987-11-19,105.82573023597728,-7.83%
1987-11-20,105.31776673084458,-0.48%
1987-11-23,107.56103516221158,2.13%
1987-11-24,113.98242896139563,5.97%
1987-11-25,114.80310244991769,0.72%
1987-11-27,110.8768363461305,-3.42%
1987-11-30,96.4406722538643,-13.02%
1987-12-01,96.49853665721662,0.06%
1987-12-02,98.1776111950522,1.74%
1987-12-03,87.48606933591101,-10.89%
1987-12-04,82.52560920456486,-5.67%
1987-12-07,87.6752072189297,6.24%
1987-12-08,94.6716887550003,7.98%
1987-12-09,101.06202774596281,6.75%
1987-12-10,99.42482289647822,-1.62%
1987-12-11,101.15481481487694,1.74%
1987-12-14,114.7500219259964,13.44%
1987-12-15,116.64339728777534,1.65%
