Nasdaq-composite 2x, 1971-2025
Date, Close-price
1973-10-01,119.949457
1973-10-02,121.657307
1973-10-03,122.462841
1973-10-04,121.108574
1973-10-05,123.389338
1973-10-08,124.726714
1973-10-09,124.506290
1973-10-10,122.524232
1973-10-11,125.560849
1973-10-12,126.754982
1973-10-15,124.599814
1973-10-16,124.621842
1973-10-17,123.564418
1973-10-18,123.915390
1973-10-19,124.859968
1973-10-22,122.743137
1973-10-23,121.693770
1973-10-24,122.390344
1973-10-25,122.783286
1973-10-26,123.832809
1973-10-29,122.295741
1973-10-30,119.109876
1973-10-31,118.119358
1973-11-01,116.939987
1973-11-02,115.467836
1973-11-05,111.821371
1973-11-06,109.902228
1973-11-07,110.791455
1973-11-08,112.016473
1973-11-09,108.801389
1973-11-12,107.381837
1973-11-13,106.686942
1973-11-14,101.064334
1973-11-15,100.370619
1973-11-16,99.876815
1973-11-19,95.187393
1973-11-20,90.533787
1973-11-21,91.921134
1973-11-23,91.883353
1973-11-26,85.896298
1973-11-27,83.961738
1973-11-28,87.335724
1973-11-29,86.746985
1973-11-30,84.711704
1973-12-03,81.921499
1973-12-04,81.191091
1973-12-05,77.945576
1973-12-06,80.621073
1973-12-07,82.476056
1973-12-10,84.655882
1973-12-11,82.230420
1973-12-12,79.751021
1973-12-13,76.782642
1973-12-14,77.661438
1973-12-17,76.794971
1973-12-18,79.259165
1973-12-19,78.699030
1973-12-20,78.751356
1973-12-21,77.442760
1973-12-24,75.972108
1973-12-26,78.576769
1973-12-27,80.423789
1973-12-28,81.181755
1973-12-31,82.084956
1974-01-02,82.690420
1974-01-03,85.639500
1974-01-04,85.494009
1974-01-07,86.166332
1974-01-08,85.345440
1974-01-09,82.041277
1974-01-10,80.653160
1974-01-11,82.082367
1974-01-14,82.384958
1974-01-15,83.579719
1974-01-16,86.130126
1974-01-17,88.791783
1974-01-18,87.625783
1974-01-21,86.081393
1974-01-22,87.557386
1974-01-23,88.421107
1974-01-24,88.144098
1974-01-25,87.756895
1974-01-28,87.057783
1974-01-29,86.214875
1974-01-30,87.327207
1974-01-31,86.886763
1974-02-01,85.458939
1974-02-04,83.171562
1974-02-05,82.401538
1974-02-06,82.900617
1974-02-07,83.025764
1974-02-08,81.934379
1974-02-11,80.032648
1974-02-12,78.926085
1974-02-13,78.193511
1974-02-14,78.419203
1974-02-15,79.757919
1974-02-19,79.477390
1974-02-20,80.772551
1974-02-21,81.848812
1974-02-22,83.198603
1974-02-25,82.822584
1974-02-26,83.519323
1974-02-27,85.223616
1974-02-28,85.749128
1974-03-01,85.203824
1974-03-04,84.750853
1974-03-05,86.395273
1974-03-06,87.143284
1974-03-07,86.062238
1974-03-08,87.227579
1974-03-11,88.510741
1974-03-12,88.381488
1974-03-13,89.359405
1974-03-14,89.693354
1974-03-15,89.730529
1974-03-18,87.573947
1974-03-19,86.435312
1974-03-20,86.800210
1974-03-21,87.549827
1974-03-22,87.715085
1974-03-25,87.531292
1974-03-26,87.384412
1974-03-27,85.439887
1974-03-28,83.009371
1974-03-29,81.936783
1974-04-01,81.279655
1974-04-02,81.509608
1974-04-03,81.686745
1974-04-04,81.243422
1974-04-05,79.156630
1974-04-08,77.795170
1974-04-09,78.245054
1974-04-10,77.707108
1974-04-11,77.568762
1974-04-15,76.929483
1974-04-16,78.495259
1974-04-17,79.173066
1974-04-18,79.487244
1974-04-19,78.455397
1974-04-22,78.385898
1974-04-23,75.259840
1974-04-24,72.673767
1974-04-25,71.152591
1974-04-26,71.483379
1974-04-29,71.848090
1974-04-30,72.512889
1974-05-01,73.798519
1974-05-02,74.371188
1974-05-03,73.525773
1974-05-06,73.256786
1974-05-07,72.166031
1974-05-08,70.633773
1974-05-09,70.749107
1974-05-10,68.259161
1974-05-13,66.445394
1974-05-14,66.413441
1974-05-15,66.972477
1974-05-16,66.956438
1974-05-17,64.438555
1974-05-20,63.652047
1974-05-21,63.433178
1974-05-22,62.543599
1974-05-23,62.280160
1974-05-24,63.671895
1974-05-28,63.062146
1974-05-29,61.070546
1974-05-30,61.545148
1974-05-31,61.714207
1974-06-03,63.068534
1974-06-04,64.141974
1974-06-05,64.832264
1974-06-06,66.393727
1974-06-07,67.207688
1974-06-10,67.544891
1974-06-11,66.611239
1974-06-12,66.227589
1974-06-13,66.450738
1974-06-14,65.684367
1974-06-17,63.747806
1974-06-18,63.294363
1974-06-19,62.375134
1974-06-20,61.122373
1974-06-21,59.989485
1974-06-24,59.640665
1974-06-25,60.351393
1974-06-26,58.708557
1974-06-27,56.548334
1974-06-28,55.267661
1974-07-01,54.438210
1974-07-02,52.156412
1974-07-03,51.944423
1974-07-05,51.817488
1974-07-08,48.140890
1974-07-09,47.638857
1974-07-10,46.599562
1974-07-11,46.773093
1974-07-12,49.086672
1974-07-15,49.497554
1974-07-16,49.016194
1974-07-17,50.494276
1974-07-18,50.633168
1974-07-19,51.453758
1974-07-22,51.481798
1974-07-23,52.912237
1974-07-24,53.182343
1974-07-25,51.586089
1974-07-26,50.631700
1974-07-29,48.768554
1974-07-30,48.509328
1974-07-31,46.726797
1974-08-01,46.246110
1974-08-02,45.940592
1974-08-05,46.298055
1974-08-06,47.441053
1974-08-07,48.988117
1974-08-08,47.593924
1974-08-09,47.634338
1974-08-12,47.189598
1974-08-13,45.123879
1974-08-14,43.065045
1974-08-15,42.591169
1974-08-16,41.292037
1974-08-19,40.376665
1974-08-20,41.108194
1974-08-21,40.107386
1974-08-22,38.464045
1974-08-23,37.230099
1974-08-26,37.670410
1974-08-27,36.952195
1974-08-28,37.058890
1974-08-29,35.800443
1974-08-30,36.967151
1974-09-03,35.200884
1974-09-04,32.969027
1974-09-05,34.389576
1974-09-06,34.937799
1974-09-09,33.406752
1974-09-10,32.956602
1974-09-11,32.945425
1974-09-12,31.548485
1974-09-13,30.400472
1974-09-16,31.022861
1974-09-17,31.543161
1974-09-18,31.980349
1974-09-19,33.521040
1974-09-20,33.949065
1974-09-23,33.677019
1974-09-24,32.751268
1974-09-25,32.662209
1974-09-26,31.672782
1974-09-27,30.851818
1974-09-30,29.285462
1974-10-01,29.085561
1974-10-02,29.284777
1974-10-03,28.443110
1974-10-04,28.743766
1974-10-07,30.213262
1974-10-08,29.743266
1974-10-09,31.269377
1974-10-10,32.964018
1974-10-11,34.402326
1974-10-14,35.894118
1974-10-15,35.510348
1974-10-16,35.267444
1974-10-17,36.247255
1974-10-18,37.076899
1974-10-21,38.341354
1974-10-22,38.725849
1974-10-23,37.832268
1974-10-24,36.877511
1974-10-25,37.207405
1974-10-28,36.757698
1974-10-29,38.133906
1974-10-30,39.583318
1974-10-31,40.010388
1974-11-01,39.801841
1974-11-04,39.263482
1974-11-05,40.928322
1974-11-06,41.077174
1974-11-07,41.735801
1974-11-08,41.572966
1974-11-11,41.835493
1974-11-12,40.129969
1974-11-13,39.663342
1974-11-14,39.736589
1974-11-15,38.966784
1974-11-18,36.159675
1974-11-19,34.808565
1974-11-20,34.602901
1974-11-21,35.445902
1974-11-22,36.114584
1974-11-25,35.660751
1974-11-26,36.782377
1974-11-27,36.958510
1974-11-29,37.135063
1974-12-02,35.613086
1974-12-03,34.273119
1974-12-04,34.171149
1974-12-05,32.485501
1974-12-06,31.702585
1974-12-09,31.375810
1974-12-10,32.296875
1974-12-11,32.857509
1974-12-12,32.957295
1974-12-13,32.801836
1974-12-16,32.391952
1974-12-17,32.755226
1974-12-18,33.253362
1974-12-19,33.063757
1974-12-20,32.185171
1974-12-23,31.296472
1974-12-24,31.783282
1974-12-26,32.404667
1974-12-27,32.250568
1974-12-30,32.294491
1974-12-31,33.437270
1975-01-02,34.421048
1975-01-03,35.022141
1975-01-06,35.605557
1975-01-07,35.778568
1975-01-08,35.327650
1975-01-09,36.327164
1975-01-10,37.864822
1975-01-13,37.448660
1975-01-14,37.176693
1975-01-15,38.072091
1975-01-16,39.180813
1975-01-17,38.697099
1975-01-20,38.745170
1975-01-21,38.432515
1975-01-22,38.360656
1975-01-23,38.803371
1975-01-24,39.874390
1975-01-27,41.899214
1975-01-28,42.999193
1975-01-29,44.467952
1975-01-30,44.352083
1975-01-31,45.367829
1975-02-03,46.603124
1975-02-04,45.812459
1975-02-05,47.040570
1975-02-06,47.556844
1975-02-07,47.104302
1975-02-10,46.706909
1975-02-11,46.720100
1975-02-12,47.722705
1975-02-13,49.442563
1975-02-14,49.958155
1975-02-18,48.880706
1975-02-19,49.420303
1975-02-20,50.383344
