SP-500 3x, 1927-2025
Date,Close
1930-09-18,15.514911
1930-09-19,14.675075
1930-09-22,13.589346
1930-09-23,14.135077
1930-09-24,13.450452
1930-09-25,12.687968
1930-09-26,12.109197
1930-09-29,11.080880
1930-09-30,10.570269
1930-10-01,11.986082
1930-10-02,11.541696
1930-10-03,11.974961
1930-10-06,10.476550
1930-10-07,10.493439
1930-10-08,10.121489
1930-10-09,8.916813
1930-10-10,9.582925
1930-10-14,9.265433
1930-10-15,9.715514
1930-10-16,9.203045
1930-10-17,8.091269
1930-10-20,8.671237
1930-10-21,7.901337
1930-10-22,7.692798
1930-10-23,8.020538
1930-10-24,8.862836
1930-10-27,8.922789
1930-10-28,9.043231
1930-10-29,8.572333
1930-10-30,8.264609
1930-10-31,7.692665
1930-11-03,7.951507
1930-11-05,7.241305
1930-11-06,7.280516
1930-11-07,6.545906
1930-11-10,5.874635
1930-11-11,6.158160
1930-11-12,6.567663
1930-11-13,7.080380
1930-11-14,7.503664
1930-11-17,6.957216
1930-11-18,7.185184
1930-11-19,7.638032
1930-11-20,7.543736
1930-11-21,7.891086
1930-11-24,7.684631
1930-11-25,7.414206
1930-11-26,7.097397
1930-11-28,6.802561
1930-12-01,7.325835
1930-12-02,7.535144
1930-12-03,7.148614
1930-12-04,6.826991
1930-12-05,6.839464
1930-12-08,6.264999
1930-12-09,6.276767
1930-12-10,5.982175
1930-12-11,5.776812
1930-12-12,5.643073
1930-12-15,5.105462
1930-12-16,4.592866
1930-12-17,5.232177
1930-12-18,5.346448
1930-12-19,5.525600
1930-12-22,4.976271
1930-12-23,5.056533
1930-12-24,5.259335
1930-12-26,4.936698
1930-12-29,4.807048
1930-12-30,5.140145
1930-12-31,5.426846
1931-01-02,5.968115
1931-01-05,6.058484
1931-01-06,6.286674
1931-01-07,5.070654
1931-01-08,6.219867
1931-01-09,6.035916
1931-01-12,5.776751
1931-01-13,5.568875
1931-01-14,5.761029
1931-01-15,5.357065
1931-01-16,5.554576
1931-01-19,5.352269
1931-01-20,5.684622
1931-01-21,5.684622
1931-01-22,5.998033
1931-01-23,6.389940
1931-01-26,6.366590
1931-01-27,6.273420
1931-01-28,5.927460
1931-01-29,6.093962
1931-01-30,6.116574
1931-02-02,6.082572
1931-02-03,6.172907
1931-02-04,6.275535
1931-02-05,6.148717
1931-02-06,6.205581
1931-02-09,6.995103
1931-02-10,7.329186
1931-02-11,7.392993
1931-02-13,7.264642
1931-02-16,7.467612
1931-02-17,7.092939
1931-02-18,7.280144
1931-02-19,7.572196
1931-02-20,7.937119
1931-02-24,8.555598
1931-02-25,8.273078
1931-02-26,8.549309
1931-02-27,8.351692
1931-03-02,7.642979
1931-03-03,7.616804
1931-03-04,7.407886
1931-03-05,7.856461
1931-03-06,7.363488
1931-03-09,7.924678
1931-03-10,7.871132
1931-03-11,7.604617
1931-03-12,7.448356
1931-03-13,7.345621
1931-03-16,7.918173
1931-03-17,7.664185
1931-03-18,7.964997
1931-03-19,8.233330
1931-03-20,8.301902
1931-03-23,7.888187
1931-03-24,8.048081
1931-03-25,7.913048
1931-03-26,7.592610
1931-03-27,7.164063
1931-03-30,6.477213
1931-03-31,6.512204
1931-04-01,6.313209
1931-04-02,6.232957
1931-04-06,6.289792
1931-04-07,6.038201
1931-04-08,6.282992
1931-04-09,6.180179
1931-04-10,6.236670
1931-04-13,6.532211
1931-04-14,6.286082
1931-04-15,5.909146
1931-04-16,5.690017
1931-04-17,5.422964
1931-04-20,5.660844
1931-04-21,5.213935
1931-04-22,4.891839
1931-04-23,4.959335
1931-04-24,4.959335
1931-04-27,4.443616
1931-04-28,4.362330
1931-04-29,4.094702
1931-04-30,4.710190
1931-05-01,4.298165
1931-05-04,4.659036
1931-05-05,4.547663
1931-05-06,4.611587
1931-05-07,4.556284
1931-05-08,5.004294
1931-05-11,4.761209
1931-05-12,4.620160
1931-05-13,4.574081
1931-05-14,4.271990
1931-05-15,4.079663
1931-05-18,3.571118
1931-05-19,3.563377
1931-05-20,3.501540
1931-05-21,3.608496
1931-05-22,3.647465
1931-05-25,3.223584
1931-05-26,3.230801
1931-05-27,3.122385
1931-05-28,3.157707
1931-05-29,2.951305
1931-06-01,2.529690
1931-06-02,2.407285
1931-06-03,2.951884
1931-06-04,3.242123
1931-06-05,3.134451
1931-06-08,3.246730
1931-06-09,3.088703
1931-06-10,3.338763
1931-06-11,3.360696
1931-06-12,3.375383
1931-06-15,3.287009
1931-06-16,3.308713
1931-06-17,3.199715
1931-06-18,3.029190
1931-06-19,2.994949
1931-06-22,3.939649
1931-06-23,3.777856
1931-06-24,4.312682
1931-06-25,4.226942
1931-06-26,4.531485
1931-06-29,4.301221
1931-06-30,4.078891
1931-07-01,4.276922
1931-07-02,4.166238
1931-07-03,4.433949
1931-07-06,4.294480
1931-07-07,3.791088
1931-07-08,3.681352
1931-07-09,3.773578
1931-07-10,3.882957
1931-07-13,3.564464
1931-07-14,3.459259
1931-07-15,3.245664
1931-07-16,3.485561
1931-07-17,3.581697
1931-07-20,3.724764
1931-07-21,3.848408
1931-07-22,3.579914
1931-07-23,3.579914
1931-07-24,3.346769
1931-07-27,3.389891
1931-07-28,3.498619
1931-07-29,3.172936
1931-07-30,3.214503
1931-07-31,3.165586
1931-08-03,3.303923
1931-08-04,3.239884
1931-08-05,3.099427
1931-08-06,3.038074
1931-08-07,3.078432
1931-08-10,3.037719
1931-08-11,3.333644
1931-08-12,3.197820
1931-08-13,3.350759
1931-08-14,3.544348
1931-08-17,3.365766
1931-08-18,3.401700
1931-08-19,3.430651
1931-08-20,3.452486
1931-08-21,3.225894
1931-08-24,3.149087
